Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
2380000	13.51	13.51	1211	0.094825	0.0001	0.8754417061805725
2390000	13.71	13.71	1215	0.09478750000000001	0.0001	0.8819877107938131
2400000	13.73	13.76	1219	0.09475	0.0001	0.8746805985768636
2410000	13.86	13.86	1223	0.0947125	0.0001	0.8726203958193461
2420000	14.09	14.09	1227	0.09467500000000001	0.0001	0.8719221393267313
2430000	14.15	14.18	1232	0.0946375	0.0001	0.8756752769152324
2440000	14.29	14.29	1236	0.0946	0.0001	0.8732623338699341
2450000	14.4	14.4	1240	0.09456250000000001	0.0001	0.8879265308380127
2460000	14.53	14.53	1244	0.094525	0.0001	0.8757966041564942
2470000	14.48	14.53	1248	0.0944875	0.0001	0.8805663307507833
2480000	14.39	14.53	1252	0.09445	0.0001	0.8786708116531372
2490000	14.47	14.53	1255	0.09441250000000001	0.0001	0.8786945899327596
2500000	14.31	14.53	1259	0.094375	0.0001	0.879277515411377
2510000	14.17	14.53	1262	0.0943375	0.0001	0.8867717345555624
2520000	14.24	14.53	1266	0.09430000000000001	0.0001	0.8770672798156738
2530000	14.27	14.53	1269	0.0942625	0.0001	0.8784205396970113
2540000	14.19	14.53	1273	0.094225	0.0001	0.8827713966369629
2550000	14.21	14.53	1276	0.09418750000000001	0.0001	0.8769829193751018
2560000	14.12	14.53	1280	0.09415000000000001	0.0001	0.874800447622935
2570000	14.12	14.53	1283	0.0941125	0.0001	0.8893088181813558
2580000	14.11	14.53	1288	0.094075	0.0001	0.8860681335131327
2590000	14.1	14.53	1292	0.09403750000000001	0.0001	0.8828797896703084
2600000	14.22	14.53	1296	0.094	0.0001	0.8785813132921855
2610000	14.3	14.53	1300	0.0939625	0.0001	0.8757845679918925
2620000	14.21	14.53	1304	0.09392500000000001	0.0001	0.8725460608800252
2630000	14.24	14.53	1308	0.0938875	0.0001	0.8855182091395061
2640000	14.09	14.53	1312	0.09385	0.0001	0.876466178894043
2650000	14.12	14.53	1317	0.09381250000000001	0.0001	0.8769647439320882
2660000	14.15	14.53	1321	0.09377500000000001	0.0001	0.8781850695610046
2670000	14.2	14.53	1325	0.0937375	0.0001	0.8801138162612915
2680000	14.28	14.53	1329	0.0937	0.0001	0.8848828196525573
2690000	14.31	14.53	1333	0.09366250000000001	0.0001	0.8952626943588257
2700000	14.44	14.53	1338	0.093625	0.0001	0.8754945675532023
2710000	14.32	14.53	1342	0.0935875	0.0001	0.8789749503135681
2720000	14.47	14.53	1347	0.09355000000000001	0.0001	0.876181956132253
2730000	14.52	14.53	1351	0.0935125	0.0001	0.8730867187182109
2740000	14.56	14.62	1355	0.093475	0.0001	0.8763719121615092
2750000	14.86	14.86	1359	0.0934375	0.0001	0.88434366385142
2760000	15.11	15.11	1364	0.09340000000000001	0.0001	0.8791943907737731
2770000	15.2	15.2	1368	0.0933625	0.0001	0.8755743741989136
2780000	15.36	15.36	1372	0.093325	0.0001	0.8766524831453959
2790000	15.54	15.54	1377	0.09328750000000001	0.0001	0.8745769580205282
2800000	15.72	15.72	1381	0.09325	0.0001	0.8768596450487772
2810000	15.86	15.87	1385	0.0932125	0.0001	0.8854238828023274
2820000	15.89	15.89	1390	0.09317500000000001	0.0001	0.8805122931798299
2830000	16.02	16.02	1394	0.09313750000000001	0.0001	0.8790390173594157
2840000	16.1	16.1	1399	0.0931	0.0001	0.8850604732831319
2850000	16.14	16.14	1403	0.0930625	0.0001	0.8841388901074727
2860000	16.2	16.25	1407	0.09302500000000001	0.0001	0.8841397523880005
2870000	16.19	16.25	1411	0.0929875	0.0001	0.8836920221646627
2880000	16.3	16.31	1415	0.09295	0.0001	0.8855332612991333
2890000	16.32	16.32	1420	0.09291250000000001	0.0001	0.8771126627922058
2900000	16.34	16.34	1424	0.092875	0.0001	0.8716265360514323
2910000	16.37	16.37	1428	0.0928375	0.0001	0.8749886790911356
2920000	16.4	16.4	1433	0.09280000000000001	0.0001	0.8868215044339498
2930000	16.29	16.4	1437	0.0927625	0.0001	0.8822908957799276
2940000	16.42	16.42	1441	0.092725	0.0001	0.8859927256902059
2950000	16.41	16.43	1445	0.0926875	0.0001	0.8893876830736797
2960000	16.39	16.44	1450	0.09265000000000001	0.0001	0.8820634245872497
2970000	16.36	16.44	1454	0.0926125	0.0001	0.8817136247952779
2980000	16.35	16.44	1458	0.092575	0.0001	0.8977676590283712
2990000	16.33	16.44	1462	0.09253750000000001	0.0001	0.8856748382250468
3000000	16.34	16.44	1467	0.0925	0.0001	0.8802780628204345
3010000	16.26	16.44	1471	0.0924625	0.0001	0.8752264142036438
3020000	16.25	16.44	1475	0.09242500000000001	0.0001	0.8773834824562072
3030000	16.37	16.44	1480	0.09238750000000001	0.0001	0.8810901323954264
3040000	16.4	16.44	1485	0.09235	0.0001	0.8881062746047974
3050000	16.41	16.44	1490	0.0923125	0.0001	0.8761195341746012
3060000	16.36	16.44	1494	0.09227500000000001	0.0001	0.8763845165570577
3070000	16.38	16.44	1498	0.0922375	0.0001	0.870587694644928
3080000	16.33	16.44	1502	0.0922	0.0001	0.8778061389923095
3090000	16.44	16.44	1507	0.09216250000000001	0.0001	0.8773065805435181
3100000	16.55	16.55	1511	0.09212500000000001	0.0001	0.8898430387179057
3110000	16.45	16.61	1515	0.0920875	0.0001	0.8765987078348796
3120000	16.43	16.61	1520	0.09205	0.0001	0.8807060599327088
3130000	16.52	16.61	1524	0.09201250000000001	0.0001	0.8706404527028402
3140000	16.44	16.61	1528	0.091975	0.0001	0.8739981055259705
3150000	16.5	16.61	1533	0.0919375	0.0001	0.8739803910255433
3160000	16.63	16.63	1537	0.09190000000000001	0.0001	0.8848585367202759
3170000	16.59	16.63	1542	0.0918625	0.0001	0.8722314675649007
3180000	16.67	16.67	1546	0.091825	0.0001	0.87427312930425
3190000	16.66	16.67	1550	0.09178750000000001	0.0001	0.8673737486203511
3200000	16.78	16.78	1555	0.09175	0.0001	0.880275293191274
3210000	16.84	16.85	1560	0.0917125	0.0001	0.874387526512146
3220000	16.76	16.85	1564	0.091675	0.0001	0.8844299197196961
3230000	16.95	16.95	1569	0.09163750000000001	0.0001	0.8790305852890015
3240000	16.92	16.97	1573	0.0916	0.0001	0.8811551769574483
3250000	16.9	16.97	1578	0.0915625	0.0001	0.8758585413297018
3260000	16.83	16.97	1583	0.09152500000000001	0.0001	0.877622385819753
3270000	16.72	16.97	1587	0.0914875	0.0001	0.8711700876553853
3280000	16.83	16.97	1592	0.09145	0.0001	0.8866461515426636
3290000	16.82	16.97	1596	0.09141250000000001	0.0001	0.8794207096099853
3300000	16.83	16.97	1600	0.091375	0.0001	0.874805212020874
3310000	16.83	16.97	1605	0.0913375	0.0001	0.8768925388654073
3320000	16.76	16.97	1609	0.0913	0.0001	0.8757803002993266
3330000	16.8	16.97	1614	0.09126250000000001	0.0001	0.8761041919390361
3340000	16.84	16.97	1619	0.091225	0.0001	0.8853697180747986
3350000	16.92	16.97	1623	0.0911875	0.0001	0.8742900927861531
3360000	17.05	17.05	1628	0.09115000000000001	0.0001	0.8719814260800679
3370000	17.1	17.11	1633	0.0911125	0.0001	0.8717852512995402
3380000	17.1	17.11	1637	0.091075	0.0001	0.8753788431485494
3390000	17.26	17.27	1643	0.09103750000000001	0.0001	0.8783174355824789
3400000	17.3	17.3	1648	0.091	0.0001	0.8874950846036275
3410000	17.29	17.33	1652	0.0909625	0.0001	0.8820117870966594
3420000	17.25	17.33	1657	0.090925	0.0001	0.8757033665974935
3430000	17.27	17.33	1661	0.09088750000000001	0.0001	0.873231828212738
3440000	17.23	17.33	1665	0.09085	0.0001	0.8787325779596965
3450000	17.16	17.33	1670	0.0908125	0.0001	0.8862103422482809
3460000	17.2	17.33	1674	0.09077500000000001	0.0001	0.8820386330286661
3470000	17.16	17.33	1678	0.0907375	0.0001	0.8852610071500142
3480000	17.08	17.33	1682	0.0907	0.0001	0.8772313594818115
3490000	17.17	17.33	1687	0.09066250000000001	0.0001	0.8775548974672953
3500000	17.08	17.33	1691	0.09062500000000001	0.0001	0.8789440035820008
3510000	17.19	17.33	1696	0.0905875	0.0001	0.8959128657976786
3520000	17.18	17.33	1700	0.09055	0.0001	0.8827113429705302
3530000	17.23	17.33	1705	0.09051250000000001	0.0001	0.882994278271993
3540000	17.35	17.35	1710	0.090475	0.0001	0.8759633580843608
3550000	17.46	17.46	1715	0.0904375	0.0001	0.8771078626314799
3560000	17.51	17.51	1720	0.09040000000000001	0.0001	0.8748644431432088
3570000	17.47	17.51	1725	0.0903625	0.0001	0.8866088668505351
3580000	17.48	17.51	1730	0.090325	0.0001	0.8794057885805766
3590000	17.39	17.51	1734	0.0902875	0.0001	0.8807933648427327
3600000	17.26	17.51	1738	0.09025	0.0001	0.8853349169095357
3610000	17.18	17.51	1742	0.0902125	0.0001	0.8819698969523112
3620000	17.18	17.51	1747	0.090175	0.0001	0.8774470289548238
3630000	17.1	17.51	1751	0.09013750000000001	0.0001	0.8917629400889079
3640000	17.02	17.51	1755	0.0901	0.0001	0.8843111872673035
3650000	17.11	17.51	1760	0.0900625	0.0001	0.8829746643702189
3660000	17.14	17.51	1765	0.09002500000000001	0.0001	0.8766138593355814
3670000	17.14	17.51	1770	0.0899875	0.0001	0.8765301624933879
3680000	17.2	17.51	1775	0.08995	0.0001	0.8739988923072814
3690000	17.24	17.51	1779	0.0899125	0.0001	0.8900302489598592
3700000	17.37	17.51	1784	0.08987500000000001	0.0001	0.8796069661776225
3710000	17.46	17.51	1789	0.0898375	0.0001	0.8734824419021606
3720000	17.43	17.52	1794	0.0898	0.0001	0.879719614982605
3730000	17.42	17.52	1799	0.08976250000000001	0.0001	0.8817038695017497
3740000	17.34	17.52	1803	0.089725	0.0001	0.8813087860743205
3750000	17.25	17.52	1808	0.0896875	0.0001	0.8941218177477519
3760000	17.2	17.52	1813	0.08965000000000001	0.0001	0.8793936769167582
3770000	17.13	17.52	1818	0.08961250000000001	0.0001	0.8785431981086731
3780000	17.06	17.52	1822	0.089575	0.0001	0.8763110438982645
3790000	17.08	17.52	1827	0.0895375	0.0001	0.8824282169342041
3800000	17.13	17.52	1832	0.08950000000000001	0.0001	0.8737301667531331
3810000	17.26	17.52	1837	0.0894625	0.0001	0.8871661822001139
3820000	17.34	17.52	1842	0.089425	0.0001	0.8790100296338399
3830000	17.37	17.52	1847	0.08938750000000001	0.0001	0.8752360622088114
3840000	17.51	17.52	1852	0.08935	0.0001	0.8808910330136617
3850000	17.57	17.59	1857	0.0893125	0.0001	0.8788698554039002
3860000	17.67	17.67	1862	0.08927500000000001	0.0001	0.8920899192492168
3870000	17.63	17.7	1867	0.0892375	0.0001	0.8906680504480998
3880000	17.68	17.7	1872	0.0892	0.0001	0.8851071238517761
3890000	17.66	17.7	1876	0.0891625	0.0001	0.8724442799886067
3900000	17.65	17.7	1881	0.08912500000000001	0.0001	0.8763943791389466
3910000	17.54	17.7	1885	0.0890875	0.0001	0.8774414698282877
3920000	17.43	17.7	1890	0.08905	0.0001	0.8915399471918742
3930000	17.48	17.7	1895	0.08901250000000001	0.0001	0.8864684859911601
3940000	17.57	17.7	1899	0.088975	0.0001	0.8732902566591899
3950000	17.73	17.73	1905	0.0889375	0.0001	0.8747210542360941
3960000	17.75	17.75	1909	0.0889	0.0001	0.874051551024119
3970000	17.81	17.81	1914	0.08886250000000001	0.0001	0.8712514241536459
3980000	17.88	17.88	1919	0.088825	0.0001	0.8845738689104716
3990000	17.94	17.94	1925	0.0887875	0.0001	0.8769652565320333
4000000	17.86	17.94	1929	0.08875000000000001	0.0001	0.8784608006477356
4010000	17.8	17.94	1934	0.0887125	0.0001	0.8788901487986247
4020000	17.82	17.94	1939	0.088675	0.0001	0.8786940932273865
4030000	17.95	17.95	1944	0.08863750000000001	0.0001	0.8766885320345561
4040000	17.91	17.95	1949	0.0886	0.0001	0.8926524758338928
4050000	17.86	17.95	1954	0.0885625	0.0001	0.8801731069882711
4060000	17.83	17.95	1958	0.088525	0.0001	0.8796967228253683
